citizen_id,properties_owned
C001,1
C002,1
C003,2
C004,2
C005,0
C006,0
C007,0
C008,0
C009,3
C010,0
C011,0
C012,0
C013,0
C014,2
C015,2
C016,1
C017,0
C018,2
C019,2
C020,1
C021,1
C022,0
C023,1
C024,1
C025,1
C026,2
C027,1
C028,1
C029,0
C030,1
C031,1
C032,2
C033,0
C034,1
C035,2
C036,1
C037,1
C038,1
C039,2
C040,1
C041,4
C042,0
C043,4
C044,1
C045,2
C046,2
C047,3
C048,1
C049,1
C050,1
C051,1
C052,3
C053,1
C054,1
C055,1
C056,1
C057,0
C058,3
C059,1
C060,1
C061,2
C062,1
C063,1
C064,1
C065,2
C066,1
C067,2
C068,0
C069,0
C070,1
C071,3
C072,2
C073,0
C074,2
C075,1
C076,4
C077,1
C078,2
C079,0
C080,4
C081,2
C082,0
C083,1
C084,1
C085,4
C086,0
C087,1
C088,2
C089,2
C090,0
C091,2
C092,0
C093,1
C094,0
C095,1
C096,1
C097,1
C098,2
C099,3
C100,0
